id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24	PositiveTail 25	PositiveTail 26	PositiveTail 27
Koppe et al., 2015-FAC-Happy > Control; socialcommunication	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-[constant ISI > variable ISI] - FAC-Angry; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-[constant ISI > variable ISI] - FAC-happy; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-[constant ISI > variable ISI] - control task; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-[variable ISI > constant ISI] - FAC-angry; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-[variable ISI > constant ISI] - control task; socialcommunication	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labek et al., 2016-attachment > neutral; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labek et al., 2016-interaction of attachment > neutral with dyadic > monadic; socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labek et al., 2016-interaction of dyadic scenes with attachment > neutral; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lazar et al., 2014-house + faces; socialcommunication	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liu et al., 2016-Disgust > Neutral; socialcommunication	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liu et al., 2016-Disgusted out-group-neutral out-group > Disgusted In-group-neutral in-group; socialcommunication	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liu et al., 2016-Out-group > In-group; socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lotze et al., 2006-Retaliation > Watching opponent; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lotze et al., 2006-Retaliation interaction with low CU > High CU; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lotze et al., 2006-Watching opponent > Retaliation (conjunction); socialcommunication	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Lotze et al., 2006-Watching opponent > Retaliation; socialcommunication	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Love et al., 2011-A > Fix; socialcommunication	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Love et al., 2011-A > V; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Love et al., 2011-AV > Fix; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Love et al., 2011-V > A; socialcommunication	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Love et al., 2011-V > Fix; socialcommunication	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Luo et al., 2013-painful > non-painful stimuli; socialcommunication	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-(IMIO > CTO) ∩ (IMIE > CTE); socialcommunication	0	1	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-(S-IMIO>NS-IMIO) > (S-CTO > NS-CTO); socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-[(S-IMIO > NS-IMIO) > (S-CTO > NS-CTO)] > [(S-IMIE > NS-IMIE) > (S-CTE > NS- CTE)]; socialcommunication	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-[(S-IMIO > S-CTO) + (S-IMIE > S-CTE)] > [(NS-IMIO > NS-CTO) + (NS-IMIE > NS-CTE)]; socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-[S (IMIO + CTO + IMIE + CTE) > NS (IMIO + CTO + IMIE + CTE)]; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mano et al., 2011-Retrieval of social context > Retrieval of self-generation; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mattan et al., 2018-EMS (covariate) + IMS x Perceived status (High vs. Low) (negative correlation with status); socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mattan et al., 2018-IMS x Perceived status (High vs. Low) (negative correlation with status; excluded EMS covariate); socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Angry > Joyful session; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Faces > Grasping; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Grasping > Faces; socialcommunication	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Interaction analysis between grasping and neutral grasping; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-First three trials > last two trials; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Last two trials > first three trials; socialcommunication	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Merely Inconsistent & Control >Positive-to-Negative & Negative-to-Positive; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Negative-to-Positive, Merely Inconsistent, & Control > Positive-to-Negative; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Positive-to-Negative & Negative-to-Positive > Merely Inconsistent & Control; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Positive-to-Negative, Negative-to-Positive, & Merely Inconsistent > Control; socialcommunication	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montgomery et al., 2008-Facial expressions interaction with view > baseline; socialcommunication	1	3	3	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montgomery et al., 2008-facial expressions > social hand gestures; socialcommunication	1	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montgomery et al., 2008-social hand gestures > facial expressions; socialcommunication	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montgomery et al., 2008-social hand gestures interaction with (imitate)> baseline same for social hand gestures interaction with (produce)> baseline; socialcommunication	0	3	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Decrease > Observe-angry; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Increase + Decrease > Observe-angry; socialcommunication	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Increase > Observe-angry; socialcommunication	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Observe-angry > Decrease; socialcommunication	1	2	1	2	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Observe-angry > Increase + Decrease; socialcommunication	2	1	1	4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Morawetz et al., 2016-Observe-angry > Increase; socialcommunication	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Observe-angry > Observe-neutral; socialcommunication	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morawetz et al., 2016-Observe-neutral > Observe-angry; socialcommunication	1	3	2	2	1	0	2	1	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Nagals., 2015-(IC > NG ∩ ego > allo) (conjunction analysis); socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagals., 2015-(IC-allo>NG-allo)>(IC-ego>NG-ego); socialcommunication	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagals., 2015-(IC-ego>IC-allo)> (NG-ego>NG-allo); socialcommunication	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagals., 2015-IC > NG; socialcommunication	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagals., 2015-allo > ego; socialcommunication	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagals., 2015-ego > allo; socialcommunication	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Neukel et al., 2019-CON: own>unknown masked with group×(own>unknown); socialcommunication	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pierno et al., 2008-Interaction [( Individual gaze + Social No-gaze) - (Individual No-gaze + Social gaze)];socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pierno et al., 2008-[( Social gaze + Individual gaze) - ( Social No-gaze + Individual No-gaze)]; socialcommunication	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pierno et al., 2008-[(Individual gaze + Social No-gaze) - (Individual No-gaze + Social Gaze); socialcommunication	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-distracter > null; socialcommunication	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-familiar face > distracter; socialcommunication	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-familiar face > self face; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-self face > distracter; socialcommunication	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-self face > famililar face; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podrebarac et al., 2013-Different Gender > Same Gender; socialcommunication	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Angry (Incongruent > Congruent) masked inclusively with Angry (Incongruent > Congruent) > Happy (Incongruent > Congruent); socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Happy (Incongruent > Congruent) masked inclusively with Happy (Incongruent > Congruent) > Angry (Incongruent > Congruent); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-In-group (Incongruent > Congruent) masked inclusively with In-group (Incongruent > Congruent) > Out-group (Incongruent > Congruent); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Incongruent > Congruent; socialcommunication	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Out-group (Incongruent > Congruent) masked inclusively with Out-group (Incongruent > Congruent) > In-group (Incongruent > Congruent);socialcommunication	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redcay et al., 2010a-Live > Recorded; socialcommunication	2	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redcay et al., 2010a-Recorded > Live; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Redcay et al., 2010b-JA > SA; socialcommunication	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rice et al., 2016-Live > Social; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rice et al., 2016-Social > Live; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rice et al., 2016-Social > Standard; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saarela et al, 2008-NOISE1 + NOISE2 - REST; socialcommunication	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saarela et al. 2008-STEP1 + STEP2 - REST; socialcommunication	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saarela et al., 2008-(STEP2 - NOISE2) - (STEP1 - NOISE1); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saarela et al., 2008-STEP1 - NOISE1; socialcommunication	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saarela et al., 2008-STEP1 - STEP1; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saarela et al., 2008-STEP2 - NOISE2; socialcommunication	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saggar et al., 2014-Sociability x Actor-orientation; socialcommunication	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Saggar et al., 2014-Sociability x Face-visibility; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saggar et al., 2014-actor’s face-blurred > actor’s face-visible; socialcommunication	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Saggar et al., 2014-actor’s face-visible > actor’s face-blurred; socialcommunication	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saggar et al., 2014-oriented away > oriented towards; socialcommunication	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saggar et al., 2014-oriented towards > directed away; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Saggar et al., 2014-social > nonsocial gestures; socialcommunication	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sander et al., 2005-Anger > Neutral (AN + NA) > (NN); socialcommunication	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sander et al., 2005-Anger to be attended > to be ignored; socialcommunication	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sander et al., 2005-Anger to-be-attended > Neutral; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sander et al., 2005-Anger to-be-ignored > Neutral; socialcommunication	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sander et al., 2005-anger to be ignored > to be attended; socialcommunication	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sander et al., 2005-spatial attention to left ear > right ear; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sander et al., 2005-spatial attention to right ear> left ear; socialcommunication	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sassa et al., 2007-Communication > Description; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sassa et al., 2007-Communication > control; socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sassa et al., 2007-Description > control; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sassa et al., 2007-Familiar communication > unfamiliar communication; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sato et al., 2019-(expression > mosaic) × laterality; socialcommunication	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sato et al., 2019-expression > mosaic; socialcommunication	0	4	5	3	0	0	0	0	0	4	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Scheuerecker et al., 2007-Explicit triplets > Implicit triplet; socialcommunication	0	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scheuerecker et al., 2007-Explicit triplets > control stimuli; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scheuerecker et al., 2007-Implicit triplets > control stimuli; socialcommunication	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2006-ARB > SOC; socialcommunication	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2006-ME > OTHER; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2006-OTHER > ME; socialcommunication	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2006-SOC > ARB; socialcommunication	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2006-SOC x ME>Other; socialcommunication	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2006-SOC x OTHER> ME; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2010-INC > CON; socialcommunication	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2010-INC X SOC; socialcommunication	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2010-OBJ > SOC; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schilbach et al., 2010-SOC > OBJ; socialcommunication	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Schulte-Rüther et al., 2008-Other > high-level baseline; socialcommunication	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schulte-Rüther et al., 2008-Self > high-level baseline; socialcommunication	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seitz et al., 2008-Emotional Faces > Control(Scrambled Images); socialcommunication	1	1	1	2	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Seitz et al., 2008-Perception of Emotion > Control (Object Detection); socialcommunication	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seitz et al., 2008-Shared Emotion > Control (Object Detection); socialcommunication	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Semrud-Clikeman et al., 2011-negative - positive stimuli; socialcommunication	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Shultz et al., 2012-Communicative > Noncommunicative; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singer et al., 2004-Affective > Neutral faces; socialcommunication	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Singer et al., 2004-Cooperator > Neutral faces; socialcommunication	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singer et al., 2004-Defector > Neutral faces; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smith et al., 2017-Social Judgment > Perceptual Judgment; socialcommunication	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sperduti et al., 2014-being imitated > rest; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sperduti et al., 2014-imitating > rest; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sperduti et al., 2014-observation > rest; socialcommunication	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Conjunction of all Conditions > Fixation Baseline; socialcommunication	0	3	2	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Conjunction of low-load/how-goal condition > low-load/observe-goal condition and high-load/how-goal condition > high-load/observe-goal condition; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Load x Goal > Fixation Baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Low-load/why-goal condition compared with high-load/why-goal condition, low-load/how-goal condition, and high-load/how-goal condition combined; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Modulation by load for any of the four goals; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2015-Why > How (All stimuli); socialcommunication	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Spunt et al., 2015-Why > How (social stimuli); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2019, HumanEmotion+Expression > PrimateEmotion+Expression & HumanEmotion+Expression > DogEmotion+Expression-socialcommunication	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2019, HumanEmotion>Expression & PrimateEmotion>Expression & DogEmotion>Expression-socialcommunication	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2019, HumanExpression>Emotion & PrimateExpression>Emotion & DogExpression>Emotion-socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2019, PrimateEmotion+Expression > HumanEmotion+Expression & DogEmotion+Expression> HumanEmotion+Expression-socialcommunication	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2019, PrimateFace > HumanFace & DogFace > HumanFace-socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Face (simple effect) [Ff–Sf]; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Face (simple effect) [Sf+Ff–2Cf masked by Sf–Cf, and Ff–Cf]; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Face (simple effect) [Sf–Ff]; socialcommunication	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Face specific (interaction) [(Sf+Ff–2Cf)–(Sn+Fn–2Cn) masked by Sf+Ff–2Cf]; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Face specific (interaction) [(Sf–Ff)–(Sn–Fn) masked by Sf–Ff]; socialcommunication	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
