id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7
Jankowski et al., 2014-RS > CS	1	0	2	2	0	0	0
Janowski et al., 2012-Empathic > Self-oriented	0	0	1	0	1	4	0
Janowski et al., 2012-Self-oriented > Empathic	0	0	2	0	0	0	0
Janowski et al., 2012-bid-for-other during empathic choice	0	0	1	1	0	1	0
Janowski et al., 2012-bid-for-self during self-oriented choice	0	1	2	0	0	0	0
Javor et al., 2019-decision-making > results	0	1	1	0	1	0	0
Javor et al., 2019-results > decision-making	0	0	1	0	0	0	0
Jiang et al., 2018-OA > OC	0	0	0	1	0	0	0
Jiang et al., 2018-SA vs. Fixation	0	0	0	0	0	1	0
Jiang et al., 2018-SC > SA	0	0	0	1	0	0	0
Kanazawa et al., 2017-Fingerspelling > Letter	0	0	2	0	0	0	0
Kanazawa et al., 2017-Letter > Fingerspelling	0	0	1	0	0	0	0
Kanske et al., 2015-EmpaToM= (ToM N nonToM questions) > (emotionally negative N neutral video)	1	0	6	4	0	0	0
Kanske et al., 2015-EmpaToM= (emotional N neutral video) > (ToM N nonToM questions)	0	4	2	1	2	0	0
Kanske et al., 2015-EmpaToM= ToM > nonToM questions	1	2	7	3	1	0	0
Kanske et al., 2015-EmpaToM= emotionally negative > neutral video	1	3	3	1	2	1	0
Kawamichi et al., 2016-Significant activation for the (toss – button press) high-frequency effect	0	0	0	0	0	3	0
Kawasaki et al., 2016-(Positive > Neutral) inclusively masked with (Negative > Neutral)	1	1	2	1	0	0	0
Kawasaki et al., 2016-(Positive vs. Neutral) > (Negative vs. Neutral)	0	0	0	0	0	0	0
Kawasaki et al., 2016-Negative > Neutral	1	2	2	1	0	0	0
Kawasaki et al., 2016-Positive > Neutral	0	1	2	1	0	0	0
Kedia et al., 2013-Conjunction analyses of the beauty and height distance effects	0	0	2	1	0	0	0
Kedia et al., 2013-Conjunction analyses of the women and dog distance effects	0	0	2	1	1	0	0
Kedia et al., 2013-Distance effect in the beauty condition > height condition	0	2	2	1	0	0	0
Kedia et al., 2013-Distance effect in the dog condition > women condition	0	2	2	1	2	0	0
Kedia et al., 2013-Distance effect in the height condition > beauty condition	0	0	2	1	1	0	0
Kedia et al., 2013-Distance effect in the women condition > dog condition	0	1	4	1	0	0	0
Kedia et al., 2013-Main effect of judgment= Beauty > height comparisons	0	0	1	0	0	0	0
Kedia et al., 2013-Main effect of judgment= Height > beauty comparisons	0	0	1	0	0	0	0
Kedia et al., 2013-Main effect of judgment= Height > control conditiona	0	0	1	0	0	0	0
Kedia et al., 2013-Main effect of target= Dogs > Women	0	0	2	0	0	0	0
Kedia et al., 2013-Main effect of target= Women > dogs	0	0	3	0	1	0	0
Kelly et al., 2014-H trials − E trials (centroid)	0	0	0	0	1	0	0
Kelly et al., 2014-H trials − E trials (peak)	0	0	1	0	0	0	0
Kestemont et al., 2014-Conjunction analysis (self + other + situation > truth)	1	0	3	0	0	0	0
Kestemont et al., 2014-Other > Truth	1	0	4	1	0	0	0
Kestemont et al., 2014-Self > Truth	1	0	2	0	0	0	0
Kestemont et al., 2014-Situation > Truth	1	0	5	0	0	0	0
Kirk et al., 2016-interaction of accepting unfair offers and  (Post-MT > Pre-MT) > (Post-CT > Pre-CT)	0	0	0	0	0	2	0
Kirk et al., 2016-interaction of accepting unfair offers and  Pre-MT > Pre-CT (conjunction analysis)	0	0	0	0	0	0	0
Klasen et al., 2011-(C Neutral > Incongruent)  ∩ (C Angry > Incongruent)  ∩ (C Happy > Incongruent) corrected	0	0	0	0	0	0	0
Klasen et al., 2011-(C Neutral > Incongruent)  ∩ (C Angry > Incongruent)  ∩ (C Happy > Incongruent) uncorrected	1	0	0	0	0	0	0
Klasen et al., 2011-(CAV >  A) ∩ (CAV >  V)	0	0	2	0	0	4	0
Klasen et al., 2011-(CAV >  A) ∩ (CAV >  V) ∩ (ICAV >  A) ∩ (ICAV >  V)	0	0	2	0	0	2	0
Klasen et al., 2011-(ICAV >  A) ∩ (ICAV >  V)	0	0	3	0	0	2	0
Klasen et al., 2011-CAV > ICAV	0	0	2	0	3	0	0
Klasen et al., 2011-Congruent happy AV > Incongruent	0	0	0	0	0	0	0
Klasen et al., 2011-ICAV > CAV	0	1	0	0	2	0	0
Klimecki et al., 2012-HE > LE videos	0	0	3	1	1	1	0
Klimecki et al., 2012-LE > HE videos	0	0	1	1	0	0	0
Koban et al., 2013-Conflict > No Conflict	0	3	2	1	2	2	0
Koban et al., 2013-[Human (Conflict > No Conflict)] > [Computer (Conflict > No Conflict)]	0	0	0	3	0	0	0
Koban et al., 2013-[Human (Conflict > No Conflict)] \ [Computer (Conflict > No Conflict)]	0	2	0	0	3	0	0
Kohn et al., 2011-cartoons > neutral pictures	1	0	2	3	0	1	0
Koppe et al., 2015-FAC-Angry > Control	0	2	5	2	2	0	0
Koppe et al., 2015-FAC-Angry > FAC-Happy	0	2	0	0	2	0	0
Koppe et al., 2015-FAC-Happy > Control	0	0	1	0	2	0	0
Koppe et al., 2015-[constant ISI > variable ISI] - FAC-Angry	0	0	1	0	0	0	0
Koppe et al., 2015-[constant ISI > variable ISI] - FAC-happy	0	1	0	0	0	1	0
Koppe et al., 2015-[constant ISI > variable ISI] - control task	0	0	0	0	0	0	0
Koppe et al., 2015-[variable ISI > constant ISI] - FAC-angry	0	0	0	0	0	0	0
Koppe et al., 2015-[variable ISI > constant ISI] - control task	0	1	3	1	2	0	0
Korn et al., 2014-(SELF > OTHER) × (GERMAN > CHINESE);	0	0	0	0	0	0	0
Korn et al., 2014-OTHER > SELF	1	1	0	0	0	0	0
Korn et al., 2014-SELF > OTHER	0	0	0	1	1	0	0
Korn et al., 2014-SELF > OTHER (CORRELATION)	0	0	0	0	0	0	0
Krueger et al., 2014-Affect	0	0	0	0	1	0	0
Krueger et al., 2014-Affect x Group	0	0	1	0	0	0	0
Krämer et al., 2010-Emotional > neutral stimuli	0	1	1	2	0	0	0
Krämer et al., 2010-Neutral > emotional stimuli	0	0	0	0	0	0	0
Krämer et al., 2010-Social relation > single person	1	0	4	1	1	0	0
Kumar et al., 2009-Pavlovian > with social task	0	1	0	1	0	2	0
Labek et al., 2016-attachment > neutral	0	0	1	0	0	0	0
Labek et al., 2016-interaction of attachment > neutral with dyadic > monadic	0	0	2	0	0	0	0
Labek et al., 2016-interaction of dyadic scenes with attachment > neutral	0	0	1	0	0	0	0
Lamm et al., 2009-No Pain= Dissimilar > Similar Other	0	4	8	2	4	3	0
Lavoie et al., 2016-Adj > Conf, Response Period	1	0	2	0	0	0	0
Lavoie et al., 2016-Soc > Phy, Response Period	1	0	3	2	0	0	0
Lavoie et al., 2016-Soc > Phy, Time-Point 1	1	0	1	0	0	0	0
Lavoie et al., 2016-Soc > Phy, Time-Point 2	1	0	3	1	0	0	0
Lavoie et al., 2016-SocAdj > PhyConf, Response Period	1	0	3	0	0	0	0
Lavoie et al., 2016-SocAdj > PhyConf, Time-Point 2	0	1	3	0	0	0	0
Lazar et al., 2014-house > faces	0	0	2	0	1	0	0
Lewis et al., 2017-Mentalising > Factual memory	0	0	3	1	0	0	1
Liu et al., 2016-Disgust > Neutral	0	1	6	0	2	0	0
Liu et al., 2016-Disgusted out-group-neutral out-group > Disgusted In-group-neutral in-group	0	0	0	0	2	1	0
Liu et al., 2016-Out-group > In-group	0	0	3	0	0	0	0
Liu et al., 2018-Friend vs Celebrity	1	0	1	1	0	0	0
Liu et al., 2018-Self vs Celebrity	0	0	0	1	0	0	0
Lockwood et al., 2016-no one prediction error > baseline	0	0	0	0	0	0	0
Lockwood et al., 2016-no one prediction error > self prediction error + prosocial prediction error	0	0	2	0	0	0	0
Lockwood et al., 2016-prosocial outcome > self + no one outcome	0	0	1	0	0	2	0
Lockwood et al., 2016-prosocial prediction error > baseline	0	0	0	0	0	2	0
Lockwood et al., 2016-prosocial prediction error > self prediction error + no one prediction error	0	0	0	0	0	1	0
Lockwood et al., 2016-self prediction error + no one prediction error > prosocial prediction error	0	0	2	0	0	0	0
Lockwood et al., 2016-self prediction error > baseline	0	0	0	0	0	2	0
Lotze et al., 2006-Retaliation > Watching opponent	0	0	0	0	0	0	0
Lotze et al., 2006-Retaliation interaction with low CU > High CU	0	0	0	0	0	0	0
Lotze et al., 2006-Watching opponent > Retaliation	0	0	3	0	1	3	0
Lotze et al., 2006-Watching opponent > Retaliation (conjunction)	0	1	3	0	1	1	0
Love et al., 2011-A > Fix	0	0	1	0	2	0	0
Love et al., 2011-A > V	0	0	2	0	0	0	0
Love et al., 2011-AV > Fix	0	0	3	1	0	0	0
Love et al., 2011-V > A	0	0	2	0	0	2	0
Love et al., 2011-V > Fix	0	0	3	1	1	2	0
Luo et al., 2013-painful > non-painful stimuli	0	2	3	1	2	0	0
Luo et al., 2015-social exclusion > social inclusion	1	1	3	1	2	1	0
Mackes et al., 2018-emotional > neutral video clips	0	0	10	0	1	0	0
Mackes et al., 2018-neutral > emotional video clips	1	0	0	0	0	0	0
Mainieri et al., 2013-(IMIO > CTO) ∩ (IMIE > CTE)	0	0	6	1	2	2	0
Mainieri et al., 2013-(S-IMIO>NS-IMIO) > (S-CTO > NS-CTO)	0	0	0	0	0	0	0
Mainieri et al., 2013-[(S-IMIO > NS-IMIO) > (S-CTO > NS-CTO)] > [(S-IMIE > NS-IMIE) > (S-CTE > NS- CTE)]	0	0	0	0	0	0	0
Mainieri et al., 2013-[(S-IMIO > S-CTO) + (S-IMIE > S-CTE)] > [(NS-IMIO > NS-CTO) + (NS-IMIE > NS-CTE)]	0	0	1	0	0	0	0
Mainieri et al., 2013-[S (IMIO + CTO + IMIE + CTE) > NS (IMIO + CTO + IMIE + CTE)]	0	0	0	0	0	0	0
Majdandzic et al., 2016, DISSIMILAR > SIMILAR-analysis_1	0	1	0	0	0	0	0
Majdandzic et al., 2016, PAINFUL > NON-PAINFUL and SELF PAINFUL > NON-PAINFUL-analysis_1	0	1	0	0	1	0	0
Mano et al., 2011-Retrieval of social context > Retrieval of self-generation	0	0	0	1	0	0	1
Materna et al., 2008-finger pointing - gaze following	0	0	0	0	0	0	0
Mattan et al., 2018-EMS (covariate) + IMS x Perceived status (High vs. Low) (negative correlation with status)	0	0	3	0	0	0	0
Mattan et al., 2018-IMS x Perceived status (High vs. Low) (negative correlation with status; excluded EMS covariate)	0	0	3	0	0	0	0
Mazzola et al., 2016-Angry > Joyful session	0	0	0	0	0	0	0
Mazzola et al., 2016-Faces > Grasping	0	0	0	0	0	0	0
Mazzola et al., 2016-Grasping > Faces	0	1	2	0	0	2	0
Mazzola et al., 2016-Interaction analysis between grasping and neutral grasping	0	0	0	0	0	0	0
Mclatchie et al., 2016-Guilt memory reflect > guilt hypothetical reflect	1	2	0	1	1	0	0
Mclatchie et al., 2016-Guilt memory reflect > neutral memory reflect	1	0	2	3	2	1	0
Mende-Siedlecki et al., 2016-First three trials > last two trials	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Last two trials > first three trials	0	1	0	1	0	0	0
Mende-Siedlecki et al., 2016-Merely Inconsistent & Control >Positive-to-Negative & Negative-to-Positive	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Negative-to-Positive, Merely Inconsistent, & Control > Positive-to-Negative	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Positive-to-Negative & Negative-to-Positive > Merely Inconsistent & Control	0	1	2	0	0	0	0
Mende-Siedlecki et al., 2016-Positive-to-Negative, Negative-to-Positive, & Merely Inconsistent > Control	0	0	2	0	0	0	0
Miedl et al., 2016-Negative > neutral	0	0	10	3	1	0	0
Miedl et al., 2016-positive > neutral	0	0	1	1	0	0	0
Miedl et al., 2016-positive > neutral and negative > neutral (conjunction analysis)	0	0	1	2	0	0	0
Moll et al., 2012-affiliative > nonaffiliative	1	0	0	1	0	0	0
Montgomery et al., 2008-Facial expressions interaction with view > baseline	0	2	8	0	2	0	0
Montgomery et al., 2008-facial expressions > social hand gestures	0	0	5	0	1	0	0
Montgomery et al., 2008-social hand gestures > facial expressions	0	1	4	0	0	0	0
Montgomery et al., 2008-social hand gestures interaction with (imitate)> baseline same for social hand gestures interaction with (produce)> baseline	0	0	8	0	1	0	0
Morawetz et al., 2016-Decrease > Observe-angry	1	0	1	1	0	0	0
Morawetz et al., 2016-Increase + Decrease > Observe-angry	1	0	1	0	0	0	0
Morawetz et al., 2016-Increase > Observe-angry	1	0	1	0	0	0	0
Morawetz et al., 2016-Observe-angry > Decrease	0	2	7	1	2	5	0
Morawetz et al., 2016-Observe-angry > Increase	0	2	1	0	2	2	0
Morawetz et al., 2016-Observe-angry > Increase + Decrease	0	3	3	2	3	3	0
Morawetz et al., 2016-Observe-angry > Observe-neutral	0	0	3	1	0	0	0
Morawetz et al., 2016-Observe-neutral > Observe-angry	0	2	13	1	3	7	0
Morese et al., 2019-appraisal support group > no support group (run 1 > run 2)	0	0	1	0	0	0	0
Morese et al., 2019-appraisal support group > no support group (run 2 > run 1)	0	0	0	2	0	0	0
Morese et al., 2019-emotional support group > no support group (run 1 > run 2)	0	0	0	0	1	0	0
Murch et al., 2014-frame inconsistent minus frame consistent	0	0	0	1	0	0	0
Murch et al., 2014-negative minus positive frame	0	1	1	1	2	0	0
Murch et al., 2014-positive minus negative frame	0	0	0	1	0	0	0
Murch et al., 2014-task trials vs control trials	0	1	1	2	0	0	0
Nagals., 2015-(IC > NG ∩ ego > allo) (conjunction analysis)	0	0	2	0	0	0	0
Nagals., 2015-(IC-allo>NG-allo)>(IC-ego>NG-ego)	0	3	0	2	2	0	0
Nagals., 2015-(IC-ego>IC-allo)> (NG-ego>NG-allo)	0	0	0	2	0	0	0
Nagals., 2015-IC > NG	0	0	3	1	1	1	0
Nagals., 2015-allo > ego	0	0	5	0	0	0	0
Nagals., 2015-ego > allo	0	0	4	2	0	0	0
Neukel et al., 2019-CON= own>unknown masked with group×(own>unknown)	0	0	0	1	0	0	0
Otti et al., 2015-ToM > R	0	0	2	0	0	0	0
Pehrs et al., 2017-Main effect of context	1	0	6	0	0	0	0
Pehrs et al., 2017-Main effect of music	0	0	1	0	0	2	0
Petrini et al., 2014-(atypical-upright 1 atypical-inverted) 2 (typical-upright 1 typical-inverted)	0	0	2	0	1	0	0
Pierno et al., 2008-Interaction [( Individual gaze + Social No-gaze) - (Individual No-gaze + Social gaze)]	0	0	0	0	0	0	0
Pierno et al., 2008-[( Social gaze + Individual gaze) - ( Social No-gaze + Individual No-gaze)]	0	0	1	0	1	1	0
Pierno et al., 2008-[(Individual gaze + Social No-gaze) - (Individual No-gaze + Social Gaze)	1	3	1	0	0	0	0
Platek et al., 2005-distracter > null	1	0	0	1	0	1	0
Platek et al., 2005-familiar face > distracter	0	1	2	0	0	0	0
Platek et al., 2005-familiar face > self face	0	0	0	0	0	0	0
Platek et al., 2005-self face > distracter	0	0	1	0	0	2	0
Platek et al., 2005-self face > famililar face	0	0	1	1	0	0	0
Podrebarac et al., 2013-Different Gender > Same Gender	0	0	2	0	0	0	0
Polosan et al., 2011-H(I + C) > M(I + C)	0	1	1	3	1	0	0
Polosan et al., 2011-I(H + M) > C(H + M)	0	1	1	1	2	0	0
Polosan et al., 2011-[H(I > C)] > [M(I > C)]	0	0	0	0	1	0	0
Powers et al., 2016-social scenes vs non-social scenes	0	0	2	2	2	0	0
Quadflieg et al., 2015-Incongruent Interactions > Congruent Interactions	0	0	2	0	0	0	0
Quadflieg et al., 2015-Incongruent Interactions > Non-Interactions	0	0	3	0	0	0	0
Quirin et al., 2012-affiliation > power	0	0	0	0	0	0	0
Quirin et al., 2012-power > affiliation	0	0	0	0	0	0	0
Ramsey et al., 2013-Consistent Self (CS) > Consistent Other (CO)	0	4	6	0	3	1	0
Ramsey et al., 2013-Inconsistent Other (IO) > Consistent Other (CO)	0	1	3	0	1	0	0
Ramsey et al., 2013-Inconsistent Self (IS) > Consistent Other (CO)	0	1	3	0	1	1	0
Ramsey et al., 2013-Inconsistent Self (IS) > Consistent Self (CS)	0	0	0	0	0	0	0
Ramsey et al., 2013-Inconsistent Self (IS) > Inconsistent Other (IO)	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Angry (Incongruent > Congruent) masked inclusively with Angry (Incongruent > Congruent) > Happy (Incongruent > Congruent)	0	0	1	0	0	0	0
Rauchbauer et al., 2015-Happy (Incongruent > Congruent) masked inclusively with Happy (Incongruent > Congruent) > Angry (Incongruent > Congruent)	0	0	0	0	0	0	0
Rauchbauer et al., 2015-In-group (Incongruent > Congruent) masked inclusively with In-group (Incongruent > Congruent) > Out-group (Incongruent > Congruent)	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Incongruent > Congruent	0	1	2	1	1	0	0
Rauchbauer et al., 2015-Out-group (Incongruent > Congruent) masked inclusively with Out-group (Incongruent > Congruent) > In-group (Incongruent > Congruent)	0	0	2	1	1	0	0
Redcay et al., 2010a-Live > Recorded	0	2	5	0	1	2	0
Redcay et al., 2010a-Recorded > Live	0	0	0	0	0	0	0
Redcay et al., 2010b-JA > SA	0	0	7	0	1	0	0
Reniers et al., 2014-Empathy > Self-reference	0	0	0	0	0	0	0
Reniers et al., 2014-Empathy ES–EN	1	0	5	1	0	0	0
Reniers et al., 2014-Main effect (ES + TS + SRS) – (EN + TN + SRN)	0	0	4	0	0	0	0
Reniers et al., 2014-Self-reference >  Empathy	0	0	0	0	0	0	0
Reniers et al., 2014-Self-reference SRS–SRN	0	0	1	0	0	0	0
Reniers et al., 2014-ToM > Empathy	0	0	0	0	0	0	0
Reniers et al., 2014-ToM TS–TN	0	0	3	0	0	0	0
Rice et al., 2016-Live > Social	0	0	3	2	0	0	0
Rice et al., 2016-Social > Live	0	0	2	0	0	0	0
Rice et al., 2016-Social > Standard	0	0	0	0	0	0	0
Rilling et al., 2008-PD – Gamble	0	2	2	1	1	0	0
Ruckmann et al., 2015-ingroup members > outgroup members	0	0	4	0	1	0	0
Ruckmann et al., 2015-pain stimuli > neutral stimuli	0	1	2	1	0	1	0
Ruckmann et al., 2015-pain x condition > pain x gender	0	0	1	0	0	2	0
Rudorf et al., 2018-controlled > free condition	0	0	2	0	0	0	0
Saarela et al, 2008-NOISE1 + NOISE2 - REST	0	0	2	0	0	2	0
Saarela et al. 2008-STEP1 + STEP2 - REST	0	0	2	1	0	2	0
Saarela et al., 2008-(STEP2 - NOISE2) - (STEP1 - NOISE1)	0	0	0	0	0	0	0
Saarela et al., 2008-STEP1 - NOISE1	0	0	3	0	0	1	0
Saarela et al., 2008-STEP1 - STEP1	0	0	0	0	0	0	0
Saarela et al., 2008-STEP2 - NOISE2	0	0	3	0	2	0	0
Safron et al., 2018-(Bisexual Women) Female > Male Pictures	0	0	7	0	0	0	0
Safron et al., 2018-(Bisexual Women) Female > Male Videos	0	0	0	0	0	0	0
Safron et al., 2018-(Bisexual Women) Male > Female Pictures	0	0	4	0	0	0	1
Safron et al., 2018-(Bisexual Women) Male > Female Videos	0	0	2	0	0	0	0
Safron et al., 2018-(Heterosexual Women) Female > Male Pictures	0	0	2	0	0	0	0
Safron et al., 2018-(Heterosexual Women) Female > Male Videos	0	0	2	0	0	0	0
Safron et al., 2018-(Heterosexual Women) Male > Female Videos	0	0	1	0	0	0	0
Safron et al., 2018-(Homosexual Women) Female > Male Pictures	0	0	7	0	0	0	0
Safron et al., 2018-(Homosexual Women) Female > Male Videos	0	0	3	0	0	0	0
Safron et al., 2018-(Homosexual Women) Male > Female Videos	0	0	0	0	0	0	0
Saggar et al., 2014-Sociability x Actor-orientation	0	1	7	0	0	0	0
Saggar et al., 2014-Sociability x Face-visibility	0	0	2	0	0	0	0
Saggar et al., 2014-actor’s face-blurred > actor’s face-visible	0	1	7	4	0	0	0
Saggar et al., 2014-actor’s face-visible > actor’s face-blurred	0	0	5	0	0	0	0
Saggar et al., 2014-oriented away > oriented towards	0	0	2	0	0	1	0
Saggar et al., 2014-oriented towards > directed away	0	0	1	0	0	0	0
Saggar et al., 2014-social > nonsocial gestures	0	0	9	0	0	1	0
Sander et al., 2005-Anger > Neutral (AN + NA) > (NN)	0	0	2	0	0	1	0
Sander et al., 2005-Anger to be attended > to be ignored	0	1	3	1	1	0	0
Sander et al., 2005-Anger to-be-attended > Neutral	0	0	1	0	0	0	0
Sander et al., 2005-Anger to-be-ignored > Neutral	1	0	1	0	1	0	0
Sander et al., 2005-anger to be ignored > to be attended	1	0	1	0	0	0	0
Sander et al., 2005-spatial attention to left ear> right ear	1	0	2	2	0	0	0
Sander et al., 2005-spatial attention to right ear> left ear	0	1	0	0	0	0	0
Sapey- Triomphe et al., 2017-Social Interaction  > Neutral Movements	0	1	6	2	2	0	0
Sassa et al., 2007-Communication > Description	0	0	1	4	0	0	0
Sassa et al., 2007-Communication > control	0	0	2	0	0	0	0
Sassa et al., 2007-Description > control	0	0	3	0	0	0	0
Sassa et al., 2007-Familiar communication > unfamiliar communication	0	0	0	1	0	0	0
Sato et al., 2019-(expression > mosaic) × laterality	0	0	3	0	1	0	0
Sato et al., 2019-expression > mosaic	1	0	13	1	4	8	0
Schaefer et al., 2014-Rough Priming x Social Coordination Judgements > rough priming x Familiarity Relationship Judgement	0	0	0	0	0	0	0
Schaefer et al., 2014-Social Coordination Judgement > Relationship Famililarity Judgement	0	0	1	0	1	0	0
Schaefer et al., 2014-Social Coordination Judgements x Rough Priming > no priming	0	1	1	0	1	1	0
Schaefer et al., 2014-Social Coordination Judgements x Rough priming > Smooth priming	0	0	0	0	1	1	0
Scheuerecker et al., 2007-Explicit triplets > Implicit triplet	0	1	7	1	1	0	0
Scheuerecker et al., 2007-Explicit triplets > control stimuli	0	0	0	0	1	0	0
Scheuerecker et al., 2007-Implicit triplets > control stimuli	0	2	3	0	1	2	0
Schilbach et al., 2006-ARB > SOC	0	0	4	0	1	0	0
Schilbach et al., 2006-ME > OTHER	0	0	0	1	0	0	0
Schilbach et al., 2006-OTHER > ME	0	0	2	1	0	0	0
Schilbach et al., 2006-SOC > ARB	0	0	0	2	0	0	0
Schilbach et al., 2006-SOC x ME>Other	0	0	1	1	0	0	0
Schilbach et al., 2006-SOC x OTHER> ME	0	0	1	0	0	0	0
Schilbach et al., 2010-INC > CON	0	1	2	0	1	0	0
Schilbach et al., 2010-INC X SOC	0	1	0	0	0	1	0
Schilbach et al., 2010-OBJ > SOC	0	0	2	0	0	0	0
Schilbach et al., 2010-SOC > OBJ	0	0	0	1	0	2	0
Schmitgen et al., 2016-(EFE ToM − no EFE ToM) − (EFE no ToM − no EFE no ToM)	0	0	0	0	0	1	0
Schmitgen et al., 2016-(EFE no ToM − no EFE no ToM) − (EFE ToM − no EFE ToM)	0	0	1	1	0	0	0
Schmitgen et al., 2016-3rdppA > 1stppV	0	3	11	3	2	0	0
Schmitgen et al., 2016-EFE > no EFE	0	0	0	0	0	0	0
Schmitgen et al., 2016-EFE > no EFE with RT reduction	0	2	1	1	0	0	0
Schmitgen et al., 2016-No EFE > EFE	0	2	3	3	6	2	0
Schmitgen et al., 2016-no EFE > EFE with RT reduction	0	0	0	0	0	0	0
Schneider et al., 2014-belief > photo/map trials	1	0	3	0	0	0	0
Scholz et al., 2017-abstract triasl > reading screen	0	0	0	1	0	2	0
Scholz et al., 2017-reading screen > rating screen	0	0	0	4	0	1	2
Schulte-Rüther et al., 2008-Other > high-level baseline	0	3	4	1	1	0	0
Schulte-Rüther et al., 2008-Self > high-level baseline	1	3	3	1	2	0	0
Seehausen et al., 2016-Cognitive empathic (CE) > high level baseline	0	0	0	0	0	0	0
Seehausen et al., 2016-Cognitive unempathic (CN) > cognitive empathic (CE)	0	0	0	1	0	0	0
Seehausen et al., 2016-Cognitive unempathic (CN) > emotional unempathic (EN)	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional (EE + EN) > cognitive (CE + CN)	0	0	1	0	0	0	0
Seehausen et al., 2016-Emotional Empathic (EE) > emotional unempathic (EN)	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional empathic (EE) > cognitive empathic (CE)	0	1	0	0	0	0	0
Seehausen et al., 2016-Emotional empathic (EE) > high level baseline	0	1	1	0	0	0	0
Seehausen et al., 2016-Emotional unempathic (EN) > cognitive unempathic (CN)	0	0	0	0	0	0	0
Seehausen et al., 2016-Empathic (EE + CE) > high level baseline	0	0	0	0	0	0	0
Seehausen et al., 2016-Unempathic (EN + CN) > empathic (EE + CE)	0	0	0	0	0	0	0
Seehausen et al., 2016-negative vs positive performance	0	0	1	0	1	0	0
Seitz et al., 2008-Emotional Faces > Control(Scrambled Images)	0	2	5	2	2	2	0
Seitz et al., 2008-Perception of Emotion > Control (Object Detection)	0	1	0	2	0	0	0
Seitz et al., 2008-Shared Emotion > Control (Object Detection)	0	0	0	1	0	2	0
Semrud-Clikeman et al., 2011-negative - positive stimuli	0	0	0	4	4	0	0
Shultz et al., 2012-Communicative > Noncommunicative	0	0	3	0	0	0	0
Silani et al., 2013-Incongruent > Congruent	0	0	1	0	0	0	0
Silani et al., 2013-Other Judgment > Self Judgment	0	0	0	0	0	0	0
Singer et al., 2004-Affective > Neutral faces	0	3	0	1	0	1	0
Singer et al., 2004-Cooperator > Neutral faces	0	2	0	0	0	2	0
Singer et al., 2004-Defector > Neutral faces	0	0	0	0	0	0	0
Smith et al., 2017-Social Judgment > Perceptual Judgment	0	2	3	1	1	1	0
Sokolov et al., 2012-Observation of biological motion displays > observation of scrambled displays	0	0	5	0	1	0	0
Sokolov et al., 2012-observation of biological motion displays > scrambled displays	0	0	5	0	1	0	0
Sperduti et al., 2014-being imitated > rest	0	0	2	0	0	0	0
Sperduti et al., 2014-imitating > rest	0	0	2	0	0	1	0
Sperduti et al., 2014-observation > rest	0	0	4	0	2	0	0
Spunt et al., 2013-Conjunction of all Conditions > Fixation Baseline	0	1	6	1	1	2	0
Spunt et al., 2013-Conjunction of low-load/how-goal condition > low-load/observe-goal condition and high-load/how-goal condition > high-load/observe-goal condition	0	1	0	0	0	0	0
Spunt et al., 2013-Load x Goal > Fixation Baseline	0	0	1	3	0	1	0
Spunt et al., 2013-Low-load/why-goal condition compared with high-load/why-goal condition, low-load/how-goal condition, and high-load/how-goal condition combined	0	0	1	1	0	0	0
Spunt et al., 2013-Modulation by load for any of the four goals	0	0	1	1	0	0	0
Spunt et al., 2015-Decreasing LOA >  Increasing LOA	0	2	1	1	2	0	0
Spunt et al., 2015-High-why + High-how > Low-Why + Low-How	1	0	2	2	0	0	0
Spunt et al., 2015-Increasing LOA > Decreasing LOA	1	0	4	2	0	0	0
Spunt et al., 2015-Low-Why + Low-How > High-why + High-how	0	1	0	0	1	0	0
Spunt et al., 2015-Why > How (All stimuli)	0	2	3	0	0	0	0
Spunt et al., 2015-Why > How (social stimuli)	0	0	0	3	0	0	0
Spunt et al., 2019, HumanEmotion+Expression > PrimateEmotion+Expression & HumanEmotion+Expression > DogEmotion+Expression-analysis_1	1	0	1	1	0	0	0
Spunt et al., 2019, HumanEmotion>Expression & PrimateEmotion>Expression & DogEmotion>Expression-analysis_1	0	1	0	1	0	0	0
Spunt et al., 2019, HumanExpression>Emotion & PrimateExpression>Emotion & DogExpression>Emotion-analysis_1	0	0	0	0	0	0	0
Spunt et al., 2019, PrimateEmotion+Expression > HumanEmotion+Expression & DogEmotion+Expression> HumanEmotion+Expression-analysis_1	1	0	2	2	0	1	0
Spunt et al., 2019, PrimateFace > HumanFace & DogFace > HumanFace-analysis_1	0	0	0	0	0	0	0
Stanley et al., 2016-Conjunction= correlated with social and non-social SPE	0	0	1	1	1	0	0
Stanley et al., 2016-Conjunction= correlated with social and non-social predictability	0	0	2	0	0	0	0
Stanley et al., 2016-Gifters > Lotteries at time of estimate	1	1	2	1	0	0	0
Stanley et al., 2016-Gifters > Lotteries at time of outcome	1	0	3	0	0	0	0
