id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24
Janowski et al., 2012-bid-for-other during empathic choice; others	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Javor et al., 2019-decision-making > results; others	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Javor et al., 2019-results > decision-making; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jiang et al., 2018-OA > OC; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanske et al., 2015-EmpaToM: (ToM N nonToM questions) > (emotionally negative N neutral video); others	1	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanske et al., 2015-EmpaToM: (emotional N neutral video) > (ToM N nonToM questions); others	0	2	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanske et al., 2015-EmpaToM: ToM > nonToM questions; others	1	3	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanske et al., 2015-EmpaToM: emotionally negative > neutral video; others	1	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kawamichi et al., 2016-Significant activation for the (toss – button press) high-frequency effect; others	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kawasaki et al., 2016-(Positive > Neutral) inclusively masked with (Negative > Neutral); others	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kawasaki et al., 2016-(Positive vs. Neutral) > (Negative vs. Neutral); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kawasaki et al., 2016-Negative > Neutral; others	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kawasaki et al., 2016-Positive > Neutral; others	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kelly et al., 2014-H trials − E trials (centroid); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kelly et al., 2014-H trials − E trials (peak); others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kestemont et al., 2014-Conjunction analysis (self + other + situation > truth); others	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kestemont et al., 2014-Other > Truth; others	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kestemont et al., 2014-Situation > Truth; others	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kirk et al., 2016-interaction of accepting unfair offers and  (Post-MT > Pre-MT) > (Post-CT > Pre-CT); others	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kirk et al., 2016-interaction of accepting unfair offers and  Pre-MT > Pre-CT (conjunction analysis); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klimecki et al., 2012-HE > LE videos; others	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klimecki et al., 2012-LE > HE videos; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Korn et al., 2014-OTHER > SELF; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krueger et al., 2014-Affect x Group; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krueger et al., 2014-Affect; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamm et al., 2009-No Pain: Dissimilar > Similar Other; others	0	2	1	3	1	0	4	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lavoie et al., 2016-Adj > Conf, Response Period; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lavoie et al., 2016-Soc > Phy, Response Period; others	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lavoie et al., 2016-Soc > Phy, Time-Point 1; others	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lavoie et al., 2016-Soc > Phy, Time-Point 2; others	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lavoie et al., 2016-SocAdj > PhyConf, Response Period; others	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lavoie et al., 2016-SocAdj > PhyConf, Time-Point 2; others	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lazar et al., 2014-house + faces; others	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lewis et al., 2017-Mentalising > Factual memory; others	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liu et al., 2018-Friend vs Celebrity; others	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-no one prediction error > baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-no one prediction error > self prediction error + prosocial prediction error; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-prosocial outcome > self + no one outcome; others	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-prosocial prediction error > baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-prosocial prediction error > self prediction error + no one prediction error; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-self prediction error + no one prediction error > prosocial prediction error; others	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lockwood et al., 2016-self prediction error > baseline; others	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luo et al., 2013-painful > non-painful stimuli; others	0	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mackes et al., 2018-emotional > neutral video clips; others	0	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mackes et al., 2018-neutral > emotional video clips; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-(IMIO > CTO) ∩ (IMIE > CTE); others	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-(S-IMIO>NS-IMIO) > (S-CTO > NS-CTO); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-[(S-IMIO > NS-IMIO) > (S-CTO > NS-CTO)] > [(S-IMIE > NS-IMIE) > (S-CTE > NS- CTE)]; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-[(S-IMIO > S-CTO) + (S-IMIE > S-CTE)] > [(NS-IMIO > NS-CTO) + (NS-IMIE > NS-CTE)]; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mainieri et al., 2013-[S (IMIO + CTO + IMIE + CTE) > NS (IMIO + CTO + IMIE + CTE)]; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Majdandzic et al., 2016, DISSIMILAR > SIMILAR-others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Majdandzic et al., 2016, PAINFUL > NON-PAINFUL and SELF PAINFUL > NON-PAINFUL-others	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Materna et al., 2008-finger pointing - gaze following; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Angry > Joyful session; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Faces > Grasping; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Grasping > Faces; others	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mazzola et al., 2016-Interaction analysis between grasping and neutral grasping; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-First three trials > last two trials; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Last two trials > first three trials; others	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Merely Inconsistent & Control >Positive-to-Negative & Negative-to-Positive; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Negative-to-Positive, Merely Inconsistent, & Control > Positive-to-Negative; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Positive-to-Negative & Negative-to-Positive > Merely Inconsistent & Control; others	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mende-Siedlecki et al., 2016-Positive-to-Negative, Negative-to-Positive, & Merely Inconsistent > Control; others	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otti et al., 2015-ToM > R; others	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pehrs et al., 2017-Main effect of context; others	1	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pehrs et al., 2017-Main effect of music; others	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Petrini et al., 2014-(atypical-upright 1 atypical-inverted) 2 (typical-upright 1 typical-inverted); others	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-familiar face > distracter; others	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platek et al., 2005-familiar face > self face; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polosan et al., 2011-H(I + C) > M(I + C); others	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Polosan et al., 2011-I(H + M) > C(H + M); others	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polosan et al., 2011-[H(I > C)] > [M(I > C)]; others	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quadflieg et al., 2015-Incongruent Interactions > Congruent Interactions; others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quadflieg et al., 2015-Incongruent Interactions > Non-Interactions; others	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramsey et al., 2013-Inconsistent Other (IO) > Consistent Other (CO); others	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Angry (Incongruent > Congruent) masked inclusively with Angry (Incongruent > Congruent) > Happy (Incongruent > Congruent); others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Happy (Incongruent > Congruent) masked inclusively with Happy (Incongruent > Congruent) > Angry (Incongruent > Congruent); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-In-group (Incongruent > Congruent) masked inclusively with In-group (Incongruent > Congruent) > Out-group (Incongruent > Congruent); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Incongruent > Congruent; others	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rauchbauer et al., 2015-Out-group (Incongruent > Congruent) masked inclusively with Out-group (Incongruent > Congruent) > In-group (Incongruent > Congruent); others	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Redcay et al., 2010a-Live > Recorded; others	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redcay et al., 2010a-Recorded > Live; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redcay et al., 2010b-JA > SA; others	0	2	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reniers et al., 2014-Empathy > Self-reference; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reniers et al., 2014-Empathy ES–EN; others	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reniers et al., 2014-Main effect (ES + TS + SRS) – (EN + TN + SRN); others	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reniers et al., 2014-ToM > Empathy; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reniers et al., 2014-ToM TS–TN; others	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruckmann et al., 2015-ingroup members > outgroup members; others	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruckmann et al., 2015-pain stimuli > neutral stimuli; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ruckmann et al., 2015-pain x condition > pain x gender; others	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Rudorf et al., 2018-controlled > free condition; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sapey- Triomphe et al., 2017-Social Interaction  > Neutral Movements; others	0	2	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sato et al., 2019-(expression > mosaic) × laterality; others	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sato et al., 2019-expression > mosaic; others	1	4	5	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaefer et al., 2014-Rough Priming x Social Coordination Judgements > rough priming x Familiarity Relationship Judgement; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaefer et al., 2014-Social Coordination Judgement > Relationship Famililarity Judgement; others	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaefer et al., 2014-Social Coordination Judgements x Rough Priming > no priming; others	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaefer et al., 2014-Social Coordination Judgements x Rough priming > Smooth priming; others	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmitgen et al., 2016-(EFE ToM − no EFE ToM) − (EFE no ToM − no EFE no ToM); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmitgen et al., 2016-(EFE no ToM − no EFE no ToM) − (EFE ToM − no EFE ToM); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmitgen et al., 2016-3rdppA > 1stppV; others	0	5	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Schmitgen et al., 2016-EFE > no EFE with RT reduction; others	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmitgen et al., 2016-EFE > no EFE; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmitgen et al., 2016-No EFE > EFE; others	0	1	1	2	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmitgen et al., 2016-no EFE > EFE with RT reduction; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schneider et al., 2014-belief > photo/map trials; others	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schulte-Rüther et al., 2008-Other > high-level baseline; others	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Cognitive empathic (CE) > high level baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Cognitive unempathic (CN) > cognitive empathic (CE); others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Cognitive unempathic (CN) > emotional unempathic (EN); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional (EE + EN) > cognitive (CE + CN); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional Empathic (EE) > emotional unempathic (EN); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional empathic (EE) > cognitive empathic (CE); others	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional empathic (EE) > high level baseline; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Emotional unempathic (EN) > cognitive unempathic (CN); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Empathic (EE + CE) > high level baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-Unempathic (EN + CN) > empathic (EE + CE); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seehausen et al., 2016-negative vs positive performance; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silani et al., 2013-Incongruent > Congruent; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silani et al., 2013-Other Judgment > Self Judgment; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singer et al., 2004-Affective > Neutral faces; others	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singer et al., 2004-Cooperator > Neutral faces; others	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singer et al., 2004-Defector > Neutral faces; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smith et al., 2017-Social Judgment > Perceptual Judgment; others	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sokolov et al., 2012-Observation of biological motion displays > observation of scrambled displays; others	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sokolov et al., 2012-observation of biological motion displays > scrambled displays; others	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sperduti et al., 2014-being imitated > rest; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sperduti et al., 2014-imitating > rest; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sperduti et al., 2014-observation > rest; others	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Conjunction of all Conditions > Fixation Baseline; others	0	2	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Conjunction of low-load/how-goal condition > low-load/observe-goal condition and high-load/how-goal condition > high-load/observe-goal condition; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Load x Goal > Fixation Baseline; others	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Low-load/why-goal condition compared with high-load/why-goal condition, low-load/how-goal condition, and high-load/how-goal condition combined; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2013-Modulation by load for any of the four goals; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2015-Decreasing LOA >  Increasing LOA; others	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2015-High-why + High-how > Low-Why + Low-How; others	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2015-Increasing LOA > Decreasing LOA; others	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spunt et al., 2015-Low-Why + Low-How > High-why + High-how; others	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanley et al., 2016-Conjunction: correlated with social and non-social SPE; others	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanley et al., 2016-Conjunction: correlated with social and non-social predictability; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanley et al., 2016-Gifters > Lotteries at time of estimate; others	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanley et al., 2016-Gifters > Lotteries at time of outcome; others	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanley et al., 2016-Lotteries > Gifters at time of estimate; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanley et al., 2016-Lotteries > Gifters at time of outcome; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steinbeis et al., 2008-compositions > computer-generated pieces; others	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Face (simple effect) [Ff–Sf]; others	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugiura et al., 2008-Main effect [(Ff+Fn)–(Sf+Sn) masked by Ff–Sf and Fn–Sn]; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun et al., 2016-(CC-A)Gain > (CC-A)Loss; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun et al., 2016-A > CC; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun et al., 2016-CC > A; others	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun et al., 2016-Gain > Loss; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzuki et al., 2012-Reward Prediction Error (control) > Reward probability (other); others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzuki et al., 2012-Reward probability (other) >  Reward Prediction Error (control); others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzuki et al., 2012-Reward probability (other) > Reward Prediction Error (other); others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzuki et al., 2012-Simulated-other’s action prediction error > Simulated-other’s reward prediction error; others	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzuki et al., 2012-Simulated-other’s reward prediction error > Simulated-other’s action prediction error; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamir et al., 2010-self–other discrepancy during Other judgments; others	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamir et al., 2010-self–other discrepancy during self trials; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamir et al., 2015-abstract > vivid; others	1	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamir et al., 2015-non-social > social; others	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamir et al., 2015-social > non-social; others	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tamir et al., 2015-vivid > abstract; others	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Telzer et al., 2011-Costly-Donation relative to Noncostly-Reward (accept); others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Telzer et al., 2011-Costly-Donation versus Noncostly-Reward (Family obligtations); others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomova et al., 2017, (INJECTION > QTIP): STRESS > CONTROL \ (BIOPSY > QTIP): STRESS > CONTROL-others	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trapp et al., 2014-Other > (self & triad); others	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trapp et al., 2014-Triad > (self & other); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trapp et al., 2014-triad ∩ self ∩ other; others	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tso et al., 2018-Social vs Non-Social; others	2	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsoi et al., 2016-Competitive > cooperative (active); others	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
